temperature   1(scheme2)   2    3    4    scheme3   scheme4   scheme5   
633.0 -11.198191 -11.614738 -11.305928 -11.406461 -11.372952333333332 -11.3813295 -11.303526666666665
636.0 -11.193147 -11.612087 -11.301823 -11.402501 -11.369019 -11.3773895 -11.299157000000001
639.0 -11.188102 -11.609436 -11.297717 -11.398541 -11.365085 -11.373449 -11.294786666666667
642.0 -11.183058 -11.606783 -11.293612 -11.39458 -11.361151000000001 -11.36950825 -11.290416666666665
645.0 -11.178014 -11.604132 -11.289507 -11.39062 -11.357217666666665 -11.365568249999999 -11.286046999999998
648.0 -11.172969 -11.6014805 -11.285401 -11.386661 -11.353283499999998 -11.361627875 -11.281677000000002
651.0 -11.167924 -11.598828 -11.281296 -11.382701 -11.34934933333333 -11.357687249999998 -11.277306999999999
654.0 -11.162881 -11.596176 -11.27719 -11.37874 -11.345415666666666 -11.353746749999999 -11.272936999999999
657.0 -11.157836 -11.593524 -11.273085 -11.37478 -11.341481666666667 -11.34980625 -11.268567
660.0 -11.152791 -11.590874 -11.268979 -11.37082 -11.337548 -11.345866000000001 -11.264196666666669
663.0 -11.147746 -11.588222 -11.264874 -11.36686 -11.333613999999999 -11.3419255 -11.259826666666667
666.0 -11.142703 -11.585569 -11.260769 -11.3629 -11.329680333333334 -11.33798525 -11.255457333333334
669.0 -11.137658 -11.582918 -11.256663 -11.358939 -11.325746333333333 -11.3340445 -11.251086666666666
672.0 -11.132613 -11.580267 -11.252558 -11.3549795 -11.321812666666666 -11.330104375 -11.246716833333332
675.0 -11.127568 -11.577616 -11.248452 -11.35102 -11.317878666666667 -11.326164 -11.242346666666668
678.0 -11.122524 -11.574964 -11.244347 -11.347058 -11.313944999999999 -11.32222325 -11.237976333333334
681.0 -11.11748 -11.572311 -11.240242 -11.3431 -11.310011000000001 -11.31828325 -11.233607333333334
684.0 -11.112435 -11.56966 -11.236136 -11.339139 -11.306077 -11.314342499999999 -11.229236666666665
687.0 -11.107843 -11.567008 -11.232031 -11.335179 -11.302293999999998 -11.310515249999998 -11.225017666666668
690.0 -11.104884 -11.564356 -11.227925 -11.33122 -11.299055000000001 -11.30709625 -11.221343
693.0 -11.101924 -11.561705 -11.223821 -11.327258 -11.295816666666667 -11.303677 -11.217667666666665
696.0 -11.098966 -11.559053 -11.218792 -11.323299 -11.292270333333335 -11.3000275 -11.213685666666668
699.0 -11.096005 -11.556401 -11.213581 -11.319339 -11.288662333333333 -11.296331499999999 -11.209641666666665
702.0 -11.093046 -11.553749 -11.209136 -11.315379 -11.285310333333333 -11.2928275 -11.205853666666668
705.0 -11.090086 -11.551098 -11.206772 -11.3114195 -11.282651999999999 -11.289843874999999 -11.202759166666667
708.0 -11.087127 -11.548447 -11.203597 -11.307458 -11.279723666666667 -11.286657250000001 -11.199394
711.0 -11.084168 -11.545794 -11.200424 -11.303499 -11.276795333333332 -11.28347125 -11.196030333333333
714.0 -11.081208 -11.543143 -11.197249 -11.299539 -11.273866666666668 -11.28028475 -11.192665333333332
717.0 -11.078249 -11.540491 -11.193537 -11.295578 -11.270758999999998 -11.276963749999998 -11.189121333333333
720.0 -11.07529 -11.53784 -11.189521 -11.291618 -11.267550333333332 -11.27356725 -11.185476333333334
723.0 -11.0723295 -11.535189 -11.185505 -11.287658 -11.264341166666668 -11.270170375000001 -11.181830833333334
726.0 -11.069371 -11.5325365 -11.181488 -11.283698 -11.261131833333335 -11.266773375000001 -11.178185666666666
729.0 -11.066411 -11.529949 -11.177473 -11.279738 -11.257944333333334 -11.263392750000001 -11.174540666666667
