	X1	X2	X3	product	temperature	logk(T)
OHR1	7.5747	6.5747	6.5747	1	1372	-10.88583989
OHR1	7.5747	6.5747	6.5747	1	1380	-10.88163758
OHR1	7.5747	6.5747	6.5747	1	1388	-10.8774692
OHR1	7.5747	6.5747	6.5747	1	1396	-10.87333425
OHR1	7.5747	6.5747	6.5747	1	1404	-10.86923224
OHR1	7.5747	6.5747	6.5747	1	1412	-10.86516269
OHR1	7.5747	6.5747	6.5747	1	1420	-10.86112514
OHR1	7.5747	6.5747	6.5747	1	1428	-10.85711911
OHR1	7.5747	6.5747	6.5747	1	1436	-10.85314417
OHR1	7.5747	6.5747	6.5747	1	1444	-10.84919986
OHR1	7.5747	6.5747	6.5747	1	1452	-10.84528576
OHR1	7.5747	6.5747	6.5747	1	1460	-10.84140145
OHR1	7.5747	6.5747	6.5747	1	1468	-10.8375465
OHR1	7.5747	6.5747	6.5747	1	1476	-10.83372051
OHR1	7.5747	6.5747	6.5747	1	1484	-10.82992309
OHR1	7.5747	6.5747	6.5747	1	1492	-10.82615383
OHR1	7.5747	6.5747	6.5747	1	1500	-10.82241236
OHR1	7.5747	6.5747	6.5747	1	1508	-10.8186983
OHR1	7.5747	6.5747	6.5747	1	1516	-10.81501128
OHR1	7.5747	6.5747	6.5747	1	1524	-10.81135093
OHR1	7.5747	6.5747	6.5747	1	1532	-10.80771691
OHR1	7.5747	6.5747	6.5747	1	1540	-10.80410887
OHR1	7.5747	6.5747	6.5747	1	1548	-10.80052646
OHR1	7.5747	6.5747	6.5747	1	1556	-10.79696935
OHR1	7.5747	6.5747	6.5747	1	1564	-10.7934372
OHR1	7.5747	6.5747	6.5747	1	1572	-10.7899297
OHR1	7.5747	6.5747	6.5747	1	1580	-10.78644653
OHR1	7.5747	6.5747	6.5747	1	1588	-10.78298737
OHR1	7.5747	6.5747	6.5747	1	1596	-10.77955193
OHR1	7.5747	6.5747	6.5747	1	1604	-10.7761399
OHR1	7.5747	6.5747	6.5747	1	1612	-10.77275098
OHR1	7.5747	6.5747	6.5747	1	1620	-10.7693849
OHR1	7.5747	6.5747	6.5747	1	1628	-10.76604135
OHR1	7.5747	6.5747	6.5747	1	1636	-10.76272007
OHR1	7.5747	6.5747	6.5747	1	1644	-10.75942078
OHR1	7.5747	6.5747	6.5747	1	1652	-10.75614321
OHR1	7.5747	6.5747	6.5747	1	1660	-10.75288709
OHR1	7.5747	6.5747	6.5747	1	1668	-10.74965217
OHR1	7.5747	6.5747	6.5747	1	1676	-10.74643819
OHR1	7.5747	6.5747	6.5747	1	1684	-10.7432449
OHR1	7.5747	6.5747	6.5747	1	1692	-10.74007205
OHR1	7.5747	6.5747	6.5747	1	1700	-10.7369194
OHR1	7.5747	6.5747	6.5747	1	1708	-10.73378671
OHR1	7.5747	6.5747	6.5747	1	1716	-10.73067374
OHR1	7.5747	6.5747	6.5747	1	1724	-10.72758027
OHR1	7.5747	6.5747	6.5747	1	1732	-10.72450607
OHR1	7.5747	6.5747	6.5747	1	1740	-10.72145092
OHR1	7.5747	6.5747	6.5747	1	1748	-10.71841459
OHR1	7.5747	6.5747	6.5747	1	1756	-10.71539687
OHR1	7.5747	6.5747	6.5747	1	1764	-10.71239755
OHR1	7.5747	6.5747	6.5747	1	1772	-10.70941642
OHR1	7.5747	6.5747	6.5747	1	1780	-10.70645327
OHR1	7.5747	6.5747	6.5747	1	1788	-10.70350791
OHR1	7.5747	6.5747	6.5747	1	1796	-10.70058013
OHR1	7.5747	6.5747	6.5747	1	1804	-10.69766974
OHR1	7.5747	6.5747	6.5747	1	1812	-10.69477654
OHR1	7.5747	6.5747	6.5747	1	1820	-10.69190035
OHR1	7.5747	6.5747	6.5747	1	1828	-10.68904099
OHR1	7.5747	6.5747	6.5747	1	1836	-10.68619825
OHR1	7.5747	6.5747	6.5747	1	1844	-10.68337198
OHR1	7.5747	6.5747	6.5747	1	1852	-10.68056198
OHR1	7.5747	6.5747	6.5747	1	1860	-10.67776808
OHR1	7.5747	6.5747	6.5747	1	1868	-10.67499012
OHR1	7.5747	6.5747	6.5747	1	1876	-10.67222792
OHR1	7.5747	6.5747	6.5747	1	1884	-10.66948131
OHR1	7.5747	6.5747	6.5747	1	1892	-10.66675013
OHR1	7.5747	6.5747	6.5747	1	1900	-10.66403422
OHR1	7.5747	6.5747	6.5747	1	1908	-10.66133341
OHR1	7.5747	6.5747	6.5747	1	1916	-10.65864756
OHR1	7.5747	6.5747	6.5747	1	1924	-10.6559765
OHR1	7.5747	6.5747	6.5747	1	1932	-10.65332009
OHR1	7.5747	6.5747	6.5747	1	1940	-10.65067817
OHR1	7.5747	6.5747	6.5747	1	1948	-10.64805059
OHR1	7.5747	6.5747	6.5747	1	1956	-10.64543721
OHR1	7.5747	6.5747	6.5747	1	1964	-10.64283789
OHR1	7.5747	6.5747	6.5747	1	1972	-10.64025248
OHR1	7.5747	6.5747	6.5747	1	1980	-10.63768084
OHR1	7.5747	6.5747	6.5747	1	1988	-10.63512284
OHR1	7.5747	6.5747	6.5747	1	1996	-10.63257834
OHR1	7.5747	6.5747	6.5747	1	2004	-10.63004721
OHR1	7.5747	6.5747	6.5747	1	2012	-10.62752931
OHR1	7.5747	6.5747	6.5747	1	2020	-10.62502451
OHR1	7.5747	6.5747	6.5747	1	2028	-10.6225327
OHR1	7.5747	6.5747	6.5747	1	2036	-10.62005373
OHR1	7.5747	6.5747	6.5747	1	2044	-10.61758749
OHR1	7.5747	6.5747	6.5747	1	2052	-10.61513385
OHR1	7.5747	6.5747	6.5747	1	2060	-10.6126927
OHR1	7.5747	6.5747	6.5747	1	2068	-10.6102639
OHR1	7.5747	6.5747	6.5747	1	2076	-10.60784735
OHR1	7.5747	6.5747	6.5747	1	2084	-10.60544294
OHR1	7.5747	6.5747	6.5747	1	2092	-10.60305053
OHR1	7.5747	6.5747	6.5747	1	2100	-10.60067003
OHR1	7.5747	6.5747	6.5747	1	2108	-10.59830131
OHR1	7.5747	6.5747	6.5747	1	2116	-10.59594427
OHR1	7.5747	6.5747	6.5747	1	2124	-10.59359881
OHR1	7.5747	6.5747	6.5747	1	2132	-10.59126481
OHR1	7.5747	6.5747	6.5747	1	2140	-10.58894217
OHR1	7.5747	6.5747	6.5747	1	2148	-10.58663078
OHR1	7.5747	6.5747	6.5747	1	2156	-10.58433054
OHR1	7.5747	6.5747	6.5747	1	2164	-10.58204136
OHR1	7.5747	6.5747	6.5747	1	2172	-10.57976312
OHR1	7.5747	6.5747	6.5747	1	2180	-10.57749573
OHR1	7.5747	6.5747	6.5747	1	2188	-10.5752391
OHR1	7.5747	6.5747	6.5747	1	2196	-10.57299313
OHR1	7.5747	6.5747	6.5747	1	2204	-10.57075771
OHR1	7.5747	6.5747	6.5747	1	2212	-10.56853277
OHR1	7.5747	6.5747	6.5747	1	2220	-10.5663182
OHR1	7.5747	6.5747	6.5747	1	2228	-10.56411391
OHR1	7.5747	6.5747	6.5747	1	2236	-10.56191982
OHR1	7.5747	6.5747	6.5747	1	2244	-10.55973583
OHR1	7.5747	6.5747	6.5747	1	2252	-10.55756186
OHR1	7.5747	6.5747	6.5747	1	2260	-10.55539782
OHR1	7.5747	6.5747	6.5747	1	2268	-10.55324362
OHR1	7.5747	6.5747	6.5747	1	2276	-10.55109918
OHR1	7.5747	6.5747	6.5747	1	2284	-10.54896442
OHR1	7.5747	6.5747	6.5747	1	2292	-10.54683925
OHR1	7.5747	6.5747	6.5747	1	2300	-10.54472359
OHR1	7.5747	6.5747	6.5747	1	2308	-10.54261736
OHR1	7.5747	6.5747	6.5747	1	2316	-10.54052049
OHR1	7.5747	6.5747	6.5747	1	2324	-10.53843288
OHR1	7.5747	6.5747	6.5747	1	2332	-10.53635447
OHR1	7.5747	6.5747	6.5747	1	2340	-10.53428518
OHR1	7.5747	6.5747	6.5747	1	2348	-10.53222493
OHR1	7.5747	6.5747	6.5747	1	2356	-10.53017365
OHR1	7.5747	6.5747	6.5747	1	2364	-10.52813126
OHR1	7.5747	6.5747	6.5747	1	2372	-10.52609769
OHR1	7.5747	6.5747	6.5747	1	2380	-10.52407286
OHR1	7.5747	6.5747	6.5747	1	2388	-10.52205672
OHR1	7.5747	6.5747	6.5747	1	2396	-10.52004918
OHR1	7.5747	6.5747	6.5747	1	2404	-10.51805017
OHR1	7.5747	6.5747	6.5747	1	2412	-10.51605963
OHR1	7.5747	6.5747	6.5747	1	2420	-10.51407749
OHR1	7.5747	6.5747	6.5747	1	2428	-10.51210368
OHR1	7.5747	6.5747	6.5747	1	2436	-10.51013814
OHR1	7.5747	6.5747	6.5747	1	2444	-10.5081808
OHR1	7.5747	6.5747	6.5747	1	2452	-10.50623159
OHR1	7.5747	6.5747	6.5747	1	2460	-10.50429045
OHR1	7.5747	6.5747	6.5747	1	2468	-10.50235731
OHR1	7.5747	6.5747	6.5747	1	2476	-10.50043212
OHR1	7.5747	6.5747	6.5747	1	2484	-10.49851481
OHR1	7.5747	6.5747	6.5747	1	2492	-10.49660532
OHR2	12.817	13.5618	10.817	1	300	-12.50062104
OHR2	12.817	13.5618	10.817	1	303	-12.48611944
OHR2	12.817	13.5618	10.817	1	306	-12.4718263
OHR2	12.817	13.5618	10.817	1	309	-12.45773628
OHR2	12.817	13.5618	10.817	1	312	-12.44384425
OHR2	12.817	13.5618	10.817	1	315	-12.43014524
OHR2	12.817	13.5618	10.817	1	318	-12.41663447
OHR2	12.817	13.5618	10.817	1	321	-12.40330731
OHR2	12.817	13.5618	10.817	1	324	-12.3901593
OHR2	12.817	13.5618	10.817	1	327	-12.37718613
OHR2	12.817	13.5618	10.817	1	330	-12.36438364
OHR2	12.817	13.5618	10.817	1	333	-12.3517478
OHR2	12.817	13.5618	10.817	1	336	-12.33927471
OHR2	12.817	13.5618	10.817	1	339	-12.32696063
OHR2	12.817	13.5618	10.817	1	342	-12.31480189
OHR2	12.817	13.5618	10.817	1	345	-12.30279498
OHR2	12.817	13.5618	10.817	1	348	-12.29093648
OHR2	12.817	13.5618	10.817	1	351	-12.2792231
OHR2	12.817	13.5618	10.817	1	354	-12.26765162
OHR2	12.817	13.5618	10.817	1	357	-12.25621895
OHR2	12.817	13.5618	10.817	1	360	-12.24492209
OHR2	12.817	13.5618	10.817	1	363	-12.2337581
OHR2	12.817	13.5618	10.817	1	366	-12.22272418
OHR2	12.817	13.5618	10.817	1	369	-12.21181758
OHR2	12.817	13.5618	10.817	1	372	-12.20103563
OHR2	12.817	13.5618	10.817	1	375	-12.19037576
OHR2	12.817	13.5618	10.817	1	378	-12.17983546
OHR2	12.817	13.5618	10.817	1	381	-12.1694123
OHR2	12.817	13.5618	10.817	1	384	-12.15910391
OHR2	12.817	13.5618	10.817	1	387	-12.14890799
OHR2	12.817	13.5618	10.817	1	390	-12.13882233
OHR2	12.817	13.5618	10.817	1	393	-12.12884473
OHR2	12.817	13.5618	10.817	1	396	-12.11897311
OHR2	12.817	13.5618	10.817	1	399	-12.1092054
OHR2	12.817	13.5618	10.817	1	402	-12.09953962
OHR2	12.817	13.5618	10.817	1	405	-12.08997381
OHR2	12.817	13.5618	10.817	1	408	-12.08050611
OHR2	12.817	13.5618	10.817	1	411	-12.07113466
OHR2	12.817	13.5618	10.817	1	414	-12.06185768
OHR2	12.817	13.5618	10.817	1	417	-12.05267343
OHR2	12.817	13.5618	10.817	1	420	-12.04358021
OHR2	12.817	13.5618	10.817	1	423	-12.03457637
OHR2	12.817	13.5618	10.817	1	426	-12.0256603
OHR2	12.817	13.5618	10.817	1	429	-12.01683044
OHR2	12.817	13.5618	10.817	1	432	-12.00808525
OHR2	12.817	13.5618	10.817	1	435	-11.99942324
OHR2	12.817	13.5618	10.817	1	438	-11.99084296
